"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @InUthdotcom: From selling tea to winning bronze at the #AsianGames: The journey of #HarishKumar.
#AsianGames2018 https://t.co/u36Hq4OdIW",FALSE,0,NA,2018-09-10 02:32:59,FALSE,NA,"1038978612551081984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","m_libin",3,TRUE,FALSE,NA,NA
"2","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 02:32:54,FALSE,NA,"1038978594062524417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iiryadii",7361,TRUE,FALSE,NA,NA
"3","RT @Adriandhy: Tadi banyak yang minta versi portrait dengan ukuran yang enak buat dijadiin background ponsel. Ini saya buatkan ya. Silakan…",FALSE,0,NA,2018-09-10 02:32:49,FALSE,NA,"1038978572440887297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","herisetz",515,TRUE,FALSE,NA,NA
"4","RT @Adriandhy: Terlambatnya memang cukup lumayan, saya tahu. Tapi ya masa saya nggak gambar mereka :) #Atung #Kaka #BhinBhin #AsianGames201…",FALSE,0,NA,2018-09-10 02:32:46,FALSE,NA,"1038978558008287232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","herisetz",1850,TRUE,FALSE,NA,NA
"5","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 02:32:29,FALSE,NA,"1038978487602753537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jeongna1",7361,TRUE,FALSE,NA,NA
"6","RT @DivHumas_Polri: Terus Dukung Idolamu dalam Asian Para Games 2018
-Energi Of Asia-
#AsianParaGames2018 #AsianGames2018 #PolriPromoter #P…",FALSE,0,NA,2018-09-10 02:32:23,FALSE,NA,"1038978464924061696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","agustian_vera",3,TRUE,FALSE,NA,NA
"7","RT @arieparikesit: Posting perpisahan #AsianGames2018 saya akan cerita sedikit mengenai #KulinerAtletAsianGames2018 terutama di Atlet Villa…",FALSE,0,NA,2018-09-10 02:31:56,FALSE,NA,"1038978350696427520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rusafajar",2825,TRUE,FALSE,NA,NA
"8","I liked a @YouTube video https://t.co/gUPLiQ01Wi Sayonara #AsianGames2018 dari Google Translate",FALSE,0,NA,2018-09-10 02:31:48,FALSE,NA,"1038978317423005696",NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","chantikasalsab5",0,FALSE,FALSE,NA,NA
"9","RT @sweetvils: SuJu representando muy bien a 🇰🇷 fue el acto más esperado y aplaudido de los #AsianGames2018 (videos y artículos corroboran…",FALSE,0,NA,2018-09-10 02:31:35,FALSE,NA,"1038978262800711681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gabialejandra94",14,TRUE,FALSE,NA,NA
"10","RT @NajelaaShihab: Hari ini #hariolahraganasional ! Energi #asiangames2018 bisa kita teruskan jadi kebiasaan berharga keluarga. Mari memaha…",FALSE,0,NA,2018-09-10 02:31:18,FALSE,NA,"1038978190541172736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dedik_ari",44,TRUE,FALSE,NA,NA
"11","Google Trans por lo menos te da una idea de lo que dice el artículo. 

SuJu fue invitado a #AsianGames2018 porque e… https://t.co/cgO4dnPfIe",FALSE,5,NA,2018-09-10 02:31:03,TRUE,NA,"1038978127840661504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sweetvils",0,FALSE,FALSE,NA,NA
"12","RT @Ra_THORe: Records broken, history created, hurdles shattered.

A tribute to our athletes, who made the impossible possible at #ASIANGAM…",FALSE,0,NA,2018-09-10 02:30:57,FALSE,NA,"1038978103123615744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAURYARAMESHL",2251,TRUE,FALSE,NA,NA
